time,probabilidade perder fora,probabilidade empatar fora,probabilidade ganhar fora,probabilidade perder casa,probabilidade empatar casa,probabilidade ganhar casa
Crystal Palace,42.05607476635514,26.168224299065418,31.775700934579437,47.66355140186916,20.5607476635514,31.775700934579437
Everton,46.728971962616825,30.8411214953271,22.429906542056074,26.168224299065418,25.233644859813083,48.598130841121495
Swansea,56.57894736842105,21.052631578947366,22.36842105263158,36.84210526315789,22.36842105263158,40.78947368421053
Hull,65.78947368421053,23.684210526315788,10.526315789473683,42.10526315789473,23.684210526315788,34.21052631578947
Aston Villa,70.0,14.000000000000002,16.0,50.0,26.0,24.0
Sunderland,56.14035087719298,28.07017543859649,15.789473684210526,43.859649122807014,33.33333333333333,22.807017543859647
Tottenham,28.971962616822427,24.299065420560748,46.728971962616825,17.75700934579439,17.75700934579439,64.48598130841121
Southampton,44.85981308411215,24.299065420560748,30.8411214953271,34.57943925233645,28.037383177570092,37.38317757009346
Man City,20.5607476635514,16.822429906542055,62.616822429906534,11.214953271028037,14.953271028037381,73.83177570093457
Chelsea,28.037383177570092,18.69158878504673,53.271028037383175,14.953271028037381,24.299065420560748,60.747663551401864
Newcastle,57.95454545454546,23.863636363636363,18.181818181818183,36.36363636363637,23.863636363636363,39.77272727272727
Leicester,44.85981308411215,21.49532710280374,33.64485981308411,27.102803738317753,24.299065420560748,48.598130841121495
West Ham,45.794392523364486,28.971962616822427,25.233644859813083,33.64485981308411,25.233644859813083,41.1214953271028
Arsenal,35.51401869158878,27.102803738317753,37.38317757009346,13.084112149532709,20.5607476635514,66.35514018691589
West Brom,47.368421052631575,34.21052631578947,18.421052631578945,40.78947368421053,26.31578947368421,32.89473684210527
Burnley,52.27272727272727,27.27272727272727,20.454545454545457,42.04545454545455,19.318181818181817,38.63636363636363
Stoke,47.368421052631575,30.263157894736842,22.36842105263158,36.84210526315789,23.684210526315788,39.473684210526315
Man United,32.71028037383177,25.233644859813083,42.05607476635514,12.149532710280374,27.102803738317753,60.747663551401864
QPR,84.21052631578947,5.263157894736842,10.526315789473683,42.10526315789473,26.31578947368421,31.57894736842105
Liverpool,23.364485981308412,21.49532710280374,55.140186915887845,8.411214953271028,25.233644859813083,66.35514018691589
Watford,57.95454545454546,18.181818181818183,23.863636363636363,36.36363636363637,27.27272727272727,36.36363636363637
Norwich,74.19354838709677,12.903225806451612,12.903225806451612,45.16129032258064,25.806451612903224,29.03225806451613
Bournemouth,55.68181818181818,20.454545454545457,23.863636363636363,37.5,26.136363636363637,36.36363636363637
Middlesbrough,57.89473684210527,36.84210526315789,5.263157894736842,47.368421052631575,31.57894736842105,21.052631578947366
Huddersfield,65.78947368421053,23.684210526315788,10.526315789473683,57.89473684210527,21.052631578947366,21.052631578947366
Brighton,64.0,22.0,14.000000000000002,30.0,36.0,34.0
Cardiff,68.42105263157895,10.526315789473683,21.052631578947366,57.89473684210527,10.526315789473683,31.57894736842105
Wolves,35.483870967741936,32.25806451612903,32.25806451612903,25.806451612903224,29.03225806451613,45.16129032258064
Fulham,84.21052631578947,10.526315789473683,5.263157894736842,52.63157894736842,15.789473684210526,31.57894736842105
Sheffield United,16.666666666666664,58.333333333333336,25.0,41.66666666666667,16.666666666666664,41.66666666666667
